"Reference","Value","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Qty"
"C1","10uF","SamacSys_Parts:CAPC2012X145N","~","","","","","","1"
"C2-C5","100uF","simiacorelibrary:MAL203859101E3","~","","","","","","4"
"C6","47uF","SamacSys_Parts:CAPC2012X145N","~","","","GRM31CR61C476ME44K","","","1"
"C7, C13","100nF","SamacSys_Parts:CAPC1005X55N","~","","","GRM155R71C104KA88D","","","2"
"C9, C12","100nF","SamacSys_Parts:CAPC2012X145N","~","","","C2012X7R2A104K","810-C2012X7R2A104K","","2"
"C10, C11","3.3uF","SamacSys_Parts:CAPC3216X180N","~","","","C3216X7S2A335K160AB","","","2"
"C14","22uF","SamacSys_Parts:CAPC2012X145N","~","","","GRM21BR61E226ME44K","","","1"
"C15","22uF","SamacSys_Parts:CAPC6153X670N","~","","","KRM55WR72A226MH01L","","","1"
"C16","330uF","SamacSys_Parts:CAPPRD500W65D1250H2700","~","","","ECA-2AM331","","","1"
"C17","10uF","SamacSys_Parts:CAPPRD250W50D630H1250","~","","","ESY106M100AE3AA","","","1"
"C18","330nF","SamacSys_Parts:RDE5C1H103J1K1H03B","~","","","RDER72A334K1K1H03B","","","1"
"FL1","240uH","SamacSys_Parts:PA5141305NLT","~","","","","","","1"
"J1","X_STEP_DRIVER","simiacorelibrary:16pinStepperDriverHeader","~","","","","","","1"
"J2","Y0_STEP_DRIVER","simiacorelibrary:16pinStepperDriverHeader","~","","","","","","1"
"J3","Z_STEP_DRIVER","simiacorelibrary:16pinStepperDriverHeader","~","","","","","","1"
"J4","Y1_STEP_DRIVER","simiacorelibrary:16pinStepperDriverHeader","~","","","","","","1"
"J5","X_STEP","SamacSys_Parts:1190299","~","","","","","","1"
"J6","Y0_STEP","SamacSys_Parts:1190299","~","","","","","","1"
"J7","Z_STEP","SamacSys_Parts:1190299","~","","","","","","1"
"J8","Y1_STEP","SamacSys_Parts:1190299","~","","","","","","1"
"J9","X_LIM_PORT","SamacSys_Parts:1190297","~","","","","","","1"
"J10","Y0_LIM_PORT","SamacSys_Parts:1190297","~","","","","","","1"
"J11","Z_LIM_PORT","SamacSys_Parts:1190297","~","","","","","","1"
"J12","Y1_LIM_PORT","SamacSys_Parts:1190297","~","","","","","","1"
"J13","SPINDLE_SPEED","SamacSys_Parts:1190297","~","","","","","","1"
"J14","CYCLE_START_PORT","SamacSys_Parts:1190297","~","","","","","","1"
"J15","FEED_HOLD_PORT","SamacSys_Parts:1190297","~","","","","","","1"
"J16","48VIN","SamacSys_Parts:1190297","~","","","","","","1"
"J17","MEM2085-00-115-00-A","MEM20850011500A","https://gct.co/files/drawings/mem2085.pdf","1.35","GCT (GLOBAL CONNECTOR TECHNOLOGY)","MEM2085-00-115-00-A","640-MEM20850011500A","https://www.mouser.co.uk/ProductDetail/GCT/MEM2085-00-115-00-A?qs=rQFj71Wb1eWNkFUhuuvVIA%3D%3D","1"
"L1","33uH","SamacSys_Parts:SRP1265WA4R7M","~","","","","","","1"
"L2","68uH","SamacSys_Parts:SRP1265WA4R7M","~","","","","","","1"
"L3","4.7uH","SRP1265WA4R7M","~","6.5","Bourns","SRP1265WA-4R7M","652-SRP1265WA-4R7M","https://www.mouser.co.uk/ProductDetail/Bourns/SRP1265WA-4R7M?qs=Li%252BoUPsLEntdGxzeg%2Fo2Lg%3D%3D","1"
"R1, R2","1.5k","SamacSys_Parts:RESC6432X65N","~","","","","","","2"
"R3","5k_TRIM","SamacSys_Parts:3361P1502GLF","~","","","","","","1"
"R4-R7, R16, R17","4.7k","SamacSys_Parts:RESC6432X65N","~","","","","","","6"
"R8, R12","64.9k","SamacSys_Parts:RESC2012X60N","~","","","","","","2"
"R9, R13","100k","SamacSys_Parts:ERJ2RKD1004X","~","","","ERJ-2RKF1003X","","","2"
"R10, R15, R18","10k","SamacSys_Parts:RESC1005X35N","~","","","","","","3"
"R11","40.2k","SamacSys_Parts:RESC2012X60N","~","","","","","","1"
"R14","110k","SamacSys_Parts:RESC2012X60N","~","","","CR0805-FX-1103ELF","","","1"
"SW1-SW4","LOGIC_TOGGLE","simiacorelibrary:CFS-0600TB","https://www.mouser.com/datasheet/2/972/cfs-1628139.pdf","","","","","","4"
"U1","PicoW","RPi_Pico:RPi_PicoW_SMD_TH","","","","","","","1"
"U2","NCS20231SN2T1G","SOT95P275X110-5N","https://www.onsemi.com/download/data-sheet/pdf/ncs20231-d.pdf","1.1","onsemi","NCS20231SN2T1G","","","1"
"U3, U4","LMR38010SDDAR","SOIC127P600X170-9N","https://www.arrow.com/en/products/lmr38010sddar/texas-instruments?region=nac","1.7","Texas Instruments","LMR38010SDDAR","595-LMR38010SDDAR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMR38010SDDAR?qs=Li%252BoUPsLEnvfwaKSY8H4hQ%3D%3D","2"
